experiment_id,generation,individual_id,age,layer,model_performance
6,1,9,1,0,"{'epoch': 0, 'train_loss': 0.72, 'test_loss': 0.61, 'precision': 0.74, 'recall': 0.72, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [95, 323, 291], 'best_f1': 0.73, 'best_auc': 0.86, 'time': 1.01}"
6,1,12,0,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.68, 'precision': 0.67, 'recall': 0.66, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [403, 332, 107], 'best_f1': 0.67, 'best_auc': 0.76, 'time': 0.45}"
6,1,2,1,0,"{'epoch': 0, 'train_loss': 0.71, 'test_loss': 0.82, 'precision': 0.75, 'recall': 0.49, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [439, 477, 252], 'best_f1': 0.59, 'best_auc': 0.77, 'time': 1.14}"
6,1,14,0,0,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.61, 'precision': 0.82, 'recall': 0.69, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [437, 145], 'best_f1': 0.75, 'best_auc': 0.84, 'time': 0.73}"
6,1,11,1,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 0.67, 'precision': 0.73, 'recall': 0.71, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [439, 477, 278], 'best_f1': 0.72, 'best_auc': 0.8, 'time': 1.14}"
6,1,12,1,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.71, 'precision': 0.57, 'recall': 0.62, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [127, 364, 384], 'best_f1': 0.59, 'best_auc': 0.73, 'time': 0.63}"
6,1,6,1,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 0.71, 'precision': 0.67, 'recall': 0.74, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [328, 463], 'best_f1': 0.71, 'best_auc': 0.78, 'time': 0.91}"
6,1,13,1,0,"{'epoch': 0, 'train_loss': 0.71, 'test_loss': 0.67, 'precision': 0.64, 'recall': 0.81, 'accuracy': 0.73, 'learning_rate': 0.0, 'branches': [328, 319, 463], 'best_f1': 0.72, 'best_auc': 0.8, 'time': 0.98}"
6,1,14,1,0,"{'epoch': 0, 'train_loss': 0.72, 'test_loss': 0.65, 'precision': 0.59, 'recall': 0.82, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [439, 477, 252], 'best_f1': 0.69, 'best_auc': 0.79, 'time': 1.13}"
6,1,9,1,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.69, 'precision': 0.58, 'recall': 0.83, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [95, 323, 291], 'best_f1': 0.68, 'best_auc': 0.78, 'time': 1.01}"
