experiment_id,generation,individual_id,model_performance
11,1,0,"{'epoch': 0, 'train_loss': 1.33, 'test_loss': 1.25, 'precision': 0.31, 'recall': 0.73, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [[6, 9], [2, 9], [15, 8]], 'best_f1': 0.43, 'best_auc': 0.89, 'time': 1.66}"
11,1,0,"{'epoch': 0, 'train_loss': 1.33, 'test_loss': 1.25, 'precision': 0.31, 'recall': 0.73, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [[6, 9], [2, 9], [15, 8]], 'best_f1': 0.43, 'best_auc': 0.89, 'time': 1.66}"
12,0,1,"{'epoch': 0, 'train_loss': 0.59, 'test_loss': 0.51, 'precision': 0.67, 'recall': 0.89, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [[3, 13, 13, 3], [15, 9]], 'best_f1': 0.76, 'best_auc': 0.89, 'time': 1.57}"
12,0,2,"{'epoch': 0, 'train_loss': 0.57, 'test_loss': 0.72, 'precision': 0.6, 'recall': 0.95, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[12, 6, 11], [15, 8, 3]], 'best_f1': 0.74, 'best_auc': 0.88, 'time': 2.16}"
12,0,3,"{'epoch': 0, 'train_loss': 0.58, 'test_loss': 0.63, 'precision': 0.61, 'recall': 0.93, 'accuracy': 0.72, 'learning_rate': 0.0, 'branches': [[14, 5, 9], [1, 11], [1, 3, 10, 6]], 'best_f1': 0.74, 'best_auc': 0.86, 'time': 2.21}"
12,1,2,"{'epoch': 0, 'train_loss': 0.57, 'test_loss': 0.72, 'precision': 0.6, 'recall': 0.95, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[12, 6, 11], [15, 8, 3]], 'best_f1': 0.74, 'best_auc': 0.88, 'time': 2.16}"
12,1,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.63, 'precision': 0.58, 'recall': 0.9, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[3, 13, 13, 3], [1, 11]], 'best_f1': 0.71, 'best_auc': 0.85, 'time': 1.6}"
12,1,0,"{'epoch': 0, 'train_loss': 0.6, 'test_loss': 0.63, 'precision': 0.58, 'recall': 0.9, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[3, 13, 13, 3], [1, 11]], 'best_f1': 0.71, 'best_auc': 0.85, 'time': 1.6}"
13,0,1,"{'epoch': 0, 'train_loss': 0.63, 'test_loss': 0.48, 'precision': 0.44, 'recall': 0.89, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [[10, 10, 12]], 'best_f1': 0.59, 'best_auc': 0.94, 'time': 1.64}"
13,0,2,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.43, 'precision': 0.47, 'recall': 0.87, 'accuracy': 0.88, 'learning_rate': 0.0, 'branches': [[15, 12], [2, 3, 6, 14]], 'best_f1': 0.61, 'best_auc': 0.95, 'time': 1.67}"
13,0,3,"{'epoch': 0, 'train_loss': 0.63, 'test_loss': 0.41, 'precision': 0.49, 'recall': 0.87, 'accuracy': 0.9, 'learning_rate': 0.0, 'branches': [[14, 3, 9, 10], [1, 5], [12, 5]], 'best_f1': 0.62, 'best_auc': 0.95, 'time': 2.82}"
13,1,0,"{'epoch': 0, 'train_loss': 0.55, 'test_loss': 0.38, 'precision': 0.42, 'recall': 0.94, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [[9, 10, 12], [10, 11, 13, 2]], 'best_f1': 0.58, 'best_auc': 0.97, 'time': 3.94}"
13,1,2,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.43, 'precision': 0.47, 'recall': 0.87, 'accuracy': 0.88, 'learning_rate': 0.0, 'branches': [[15, 12], [2, 3, 6, 14]], 'best_f1': 0.61, 'best_auc': 0.95, 'time': 1.67}"
13,1,2,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.43, 'precision': 0.47, 'recall': 0.87, 'accuracy': 0.88, 'learning_rate': 0.0, 'branches': [[15, 12], [2, 3, 6, 14]], 'best_f1': 0.61, 'best_auc': 0.95, 'time': 1.67}"
14,0,1,"{'epoch': 0, 'train_loss': 0.9, 'test_loss': 0.77, 'precision': 0.48, 'recall': 0.75, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [[1, 6, 11], [5, 11, 2], [1, 14, 13]], 'best_f1': 0.58, 'best_auc': 0.87, 'time': 18.14}"
14,0,2,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.79, 'precision': 0.49, 'recall': 0.74, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [[6, 5, 14], [10, 8, 8, 2]], 'best_f1': 0.59, 'best_auc': 0.86, 'time': 1.29}"
14,0,3,"{'epoch': 0, 'train_loss': 0.82, 'test_loss': 0.76, 'precision': 0.45, 'recall': 0.87, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [[15, 15, 9, 2]], 'best_f1': 0.59, 'best_auc': 0.88, 'time': 0.97}"
14,1,2,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.79, 'precision': 0.49, 'recall': 0.74, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [[6, 5, 14], [10, 8, 8, 2]], 'best_f1': 0.59, 'best_auc': 0.86, 'time': 1.29}"
14,1,3,"{'epoch': 0, 'train_loss': 0.82, 'test_loss': 0.76, 'precision': 0.45, 'recall': 0.87, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [[15, 15, 9, 2]], 'best_f1': 0.59, 'best_auc': 0.88, 'time': 0.97}"
14,1,1,"{'epoch': 0, 'train_loss': 0.9, 'test_loss': 0.77, 'precision': 0.48, 'recall': 0.75, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [[1, 6, 11], [5, 11, 2], [1, 14, 13]], 'best_f1': 0.58, 'best_auc': 0.87, 'time': 18.14}"
15,0,1,"{'epoch': 0, 'train_loss': 0.84, 'test_loss': 0.75, 'precision': 0.36, 'recall': 0.93, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[12, 1, 1]], 'best_f1': 0.52, 'best_auc': 0.86, 'time': 1.03}"
15,0,2,"{'epoch': 0, 'train_loss': 0.84, 'test_loss': 0.94, 'precision': 0.46, 'recall': 0.82, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [[3, 4]], 'best_f1': 0.59, 'best_auc': 0.85, 'time': 0.77}"
15,0,3,"{'epoch': 0, 'train_loss': 0.83, 'test_loss': 0.83, 'precision': 0.48, 'recall': 0.63, 'accuracy': 0.79, 'learning_rate': 0.0, 'branches': [[10, 12, 15, 7]], 'best_f1': 0.54, 'best_auc': 0.85, 'time': 1.02}"
15,1,3,"{'epoch': 0, 'train_loss': 0.83, 'test_loss': 0.83, 'precision': 0.48, 'recall': 0.63, 'accuracy': 0.79, 'learning_rate': 0.0, 'branches': [[10, 12, 15, 7]], 'best_f1': 0.54, 'best_auc': 0.85, 'time': 1.02}"
